aveWeight,numVertices,numTrials,dimension,timeTaken in seconds
3.945302838087082,16,5,3,0
6.974357525259256,32,5,3,0
11.419268963485957,64,5,3,0
17.556969568505885,128,5,3,0
27.051677347905933,256,5,3,0
43.231725483387706,512,5,3,0
68.21574403573759,1024,5,3,0
107.36205035708845,2048,5,3,0
104.2279126307927,4096,5,3,0
251.4779570076149,8192,5,3,0
420.85270637853534,16384,5,3,3
667.4965836753603,32768,5,3,16
1059.5896649725328,65536,5,3,64
1677.2849300887494,131072,5,3,264
2658.4136866184244,262144,5,3,1197
