aveWeight,numVertices,numTrials,dimension,timeTaken in seconds
5.852017280459404,16,5,4,0
10.041743900626898,32,5,4,0
16.916150530427693,64,5,4,0
28.789752888679505,128,5,4,0
46.53302054516971,256,5,4,0
78.14827242605388,512,5,4,0
130.78476838953793,1024,5,4,0
217.0634129591286,2048,5,4,0
359.70045942869035,4096,5,4,0
603.3072808695026,8192,5,4,3
1007.5033384215087,16384,5,4,29
1554.5492929211352,32768,5,4,18
2811.3532751438443,65536,5,4,69
4740.102171613113,131072,5,4,285
7952.562185400328,262144,5,4,1363
