aveWeight,numVertices,numTrials,dimension,timeTaken in seconds
4.520382408797741,16,5,4,0
10.226742908358574,32,5,4,0
16.439463831484318,64,5,4,0
28.939876575022936,128,5,4,0
46.5976966522634,256,5,4,0
78.19732644706964,512,5,4,0
129.66116686780006,1024,5,4,0
215.6711673144251,2048,5,4,0
361.243078167364,4096,5,4,0
603.6596801473759,8192,5,4,3
1009.6207018316724,16384,5,4,23
1556.8886403066106,32768,5,4,17
2809.5797778014094,65536,5,4,71
4740.292861791258,131072,5,4,300
7949.762444243347,262144,5,4,1551
