aveWeight,numVertices,numTrials,dimension,timeTaken in seconds
3.9379806905984878,16,5,3,0
7.0748623128980395,32,5,3,0
11.275876444391907,64,5,3,0
17.460271099582314,128,5,3,0
27.05195173965767,256,5,3,0
43.292936361860484,512,5,3,0
68.41637505339459,1024,5,3,0
107.60926598482766,2048,5,3,0
105.28322581606918,4096,5,3,0
251.8443615792552,8192,5,3,0
421.01424381630494,16384,5,3,3
669.058238634083,32768,5,3,15
1058.4925859335926,65536,5,3,63
1677.4240568766807,131072,5,3,262
2657.8024463733864,262144,5,3,1171
