aveWeight,numVertices,numTrials,dimension,timeTaken in seconds
2.8640124574303627,16,5,2,0
4.036417213780806,32,5,2,0
5.465721874544397,64,5,2,0
7.7440715715754775,128,5,2,0
10.648013108409941,256,5,2,0
14.783850453031482,512,5,2,0
21.13774647199316,1024,5,2,1
29.059839572268537,2048,5,2,0
41.757622344205444,4096,5,2,0
58.977279675464885,8192,5,2,0
83.32516839902055,16384,5,2,3
117.56383692590771,32768,5,2,13
166.01494043814964,65536,5,2,66
234.48801565180298,131072,5,2,364
331.6316216765754,262144,5,2,997
