aveWeight,numVertices,numTrials,dimension,timeTaken in seconds
2.535987174510956,16,5,2,0
3.7888180065900086,32,5,2,0
5.29129505767487,64,5,2,0
7.774453801102936,128,5,2,0
10.668283758754843,256,5,2,0
14.937799415015615,512,5,2,0
21.057418422435877,1024,5,2,0
29.650448589908773,2048,5,2,0
41.78933632510598,4096,5,2,0
59.02053751886406,8192,5,2,0
83.31463324092928,16384,5,2,3
117.63271960722977,32768,5,2,14
165.94013368060072,65536,5,2,72
234.60718925522488,131072,5,2,383
331.63165489965754,262144,5,2,997
